event_id,timestamp,event_type,transaction_id,customer_id,provider,severity,metadata
EVT_0000001,2026-06-28 00:15:23,CHECKOUT_ABANDONED,,CUST_01599,Provider_C,WARNING,"{""abandoned_step"": ""PAYMENT_METHOD_SELECTION"", ""cart_value"": 1281.48, ""device_type"": ""DESKTOP_WEB"", ""intent_score"": 0.65, ""recovery_channel_suggested"": ""WHATSAPP_SAVED_CART_LINK""}"
EVT_0000002,2026-06-28 00:17:38,PAYMENT_FAILED,TXN_000023,CUST_09274,Provider_D,CRITICAL,"{""failure_reason"": ""SUSPICIOUS_TRANSACTION"", ""amount"": 2259.93, ""payment_method"": ""NET_BANKING"", ""retry_count"": 0, ""is_recoverable"": ""NO"", ""recommended_action"": ""HUMAN_REVIEW""}"
EVT_0000003,2026-06-28 00:22:18,PAYMENT_FAILED,TXN_000033,CUST_20831,Provider_D,ERROR,"{""failure_reason"": ""CARD_EXPIRED"", ""amount"": 17247.36, ""payment_method"": ""CREDIT_CARD"", ""retry_count"": 0, ""is_recoverable"": ""POSSIBLY"", ""recommended_action"": ""PAYMENT_METHOD_UPDATE""}"
EVT_0000004,2026-06-28 00:24:07,PAYMENT_FAILED,TXN_000038,CUST_11909,Provider_B,WARNING,"{""failure_reason"": ""INSUFFICIENT_FUNDS"", ""amount"": 2691.95, ""payment_method"": ""DEBIT_CARD"", ""retry_count"": 4, ""is_recoverable"": ""POSSIBLY"", ""recommended_action"": ""WAIT""}"
EVT_0000005,2026-06-28 00:28:48,PAYMENT_FAILED,TXN_000045,CUST_13604,Provider_D,WARNING,"{""failure_reason"": ""BANK_TIMEOUT"", ""amount"": 4470.07, ""payment_method"": ""WALLET"", ""retry_count"": 0, ""is_recoverable"": ""YES"", ""recommended_action"": ""RETRY""}"
EVT_0000006,2026-06-28 00:32:07,PAYMENT_RETRY,TXN_000038,CUST_11909,Provider_B,INFO,"{""attempt_number"": 2, ""max_allowed_attempts"": 3, ""strategy"": ""EXPONENTIAL_BACKOFF"", ""original_failure"": ""INSUFFICIENT_FUNDS""}"
EVT_0000007,2026-06-28 00:34:08,CHECKOUT_ABANDONED,,CUST_14059,Provider_C,WARNING,"{""abandoned_step"": ""PAYMENT_METHOD_SELECTION"", ""cart_value"": 1109.62, ""device_type"": ""MOBILE_APP"", ""intent_score"": 0.43, ""recovery_channel_suggested"": ""WHATSAPP_SAVED_CART_LINK""}"
EVT_0000008,2026-06-28 00:36:07,PAYMENT_RETRY,TXN_000038,CUST_11909,Provider_B,INFO,"{""attempt_number"": 1, ""max_allowed_attempts"": 3, ""strategy"": ""EXPONENTIAL_BACKOFF"", ""original_failure"": ""INSUFFICIENT_FUNDS""}"
EVT_0000009,2026-06-28 00:36:07,PAYMENT_RETRY,TXN_000038,CUST_11909,Provider_B,INFO,"{""attempt_number"": 3, ""max_allowed_attempts"": 3, ""strategy"": ""EXPONENTIAL_BACKOFF"", ""original_failure"": ""INSUFFICIENT_FUNDS""}"
EVT_0000010,2026-06-28 00:36:13,CHECKOUT_ABANDONED,,CUST_08223,Provider_D,WARNING,"{""abandoned_step"": ""CARD_CVV_STEP"", ""cart_value"": 2388.52, ""device_type"": ""MOBILE_APP"", ""intent_score"": 0.57, ""recovery_channel_suggested"": ""WHATSAPP_SAVED_CART_LINK""}"
